id_pedido;cliente;tiempo_estimado;tiempo_real;costo;reclamo;id_producto
1;Juan;30;45;8000;1;101
2;Ana;25;20;6000;0;102
3;Luis;40;55;12000;1;103
4;Maria;20;18;5000;0;104
5;Carlos;35;50;9000;1;105
6;Sofia;15;15;4000;0;106
7;Pedro;45;60;15000;1;107
8;Lucia;20;25;7000;0;108
9;Diego;30;28;6500;0;109
10;Valentina;25;40;11000;0;110
11;Andres;30;35;8500;0;111
12;Paula;20;30;9500;1;112
13;Jorge;50;65;14000;1;113
14;Camila;25;22;6000;0;114
15;Felipe;35;45;10000;1;115
16;Daniel;30;50;12000;1;116
17;Laura;20;18;5500;0;117
18;Ricardo;40;60;13000;1;118
19;Patricia;25;35;9000;1;119
20;Miguel;30;28;7000;0;120
21;Claudia;35;45;9500;1;121
22;Hector;20;25;6000;0;122
23;Elena;30;40;10000;1;123
24;Rodrigo;25;20;6500;0;124
25;Alejandra;40;55;12000;1;125
26;Gabriel;30;30;7000;0;101
27;Veronica;20;35;9000;1;102
28;Raul;45;50;11000;0;103
29;Daniela;25;45;10000;1;104
30;Esteban;30;20;6000;0;105
31;Marcela;35;55;13000;1;106
32;Pablo;20;18;5000;0;107
33;Andrea;30;42;9500;1;108
34;Oscar;25;30;7000;0;109
35;Cecilia;40;60;14000;1;110
36;Tomas;30;25;6500;0;111
37;Natalia;20;40;9000;1;112
38;Cristian;45;48;10500;0;113
39;Isabel;25;50;12000;1;114
40;Sebastian;30;28;7000;0;115
41;Karen;35;45;9500;1;116
42;Hugo;20;30;8000;1;117
43;Monica;30;20;6000;0;118
44;Victor;25;35;9000;1;119
45;Gloria;40;60;13000;1;120
46;Fernando;30;30;7000;0;121
47;Silvia;20;25;6500;0;122
48;Alberto;45;55;12000;1;123
49;Beatriz;25;45;10000;1;124
50;Rene;30;28;7000;0;125
51;Carolina;35;50;11000;1;101
52;Jaime;20;18;5000;0;102
53;Angela;30;45;10000;1;103
54;Manuel;25;20;6500;0;104
55;Lorena;40;60;13000;1;105
56;Francisco;30;25;7000;0;106
57;Paola;20;35;9000;1;107
58;Guillermo;45;50;11000;0;108
59;Rosa;25;45;10000;1;109
60;Enrique;30;20;6000;0;110
61;Marcos;35;55;13000;1;111
62;Teresa;20;18;5000;0;112
63;Adrian;30;42;9500;1;113
64;Sandra;25;30;7000;0;114
65;Luisana;40;60;14000;1;115
66;Javier;30;25;6500;0;116
67;Daniela;20;40;9000;1;117
68;Cristobal;45;48;10500;0;118
69;Mariela;25;50;12000;1;119
70;Ignacio;30;28;7000;0;120
71;Patricio;35;45;9500;1;121
72;Elsa;20;30;8000;1;122
73;Gonzalo;30;20;6000;0;123
74;Francisca;25;35;9000;1;124
75;Roberto;40;60;13000;1;125
76;Valeria;30;30;7000;0;101
77;Cesar;20;25;6500;0;102
78;Alicia;45;55;12000;1;103
79;Bruno;25;45;10000;1;104
80;Elisa;30;28;7000;0;105
81;Nicolas;35;50;11000;1;106
82;Lidia;20;18;5000;0;107
83;Victor;30;45;10000;1;108
84;Amparo;25;20;6500;0;109
85;Ramon;40;60;13000;1;110
86;Julia;30;25;7000;0;111
87;Samuel;20;35;9000;1;112
88;Pamela;45;50;11000;0;113
89;Marco;25;45;10000;1;114
90;Noelia;30;20;6000;0;115
91;Hernan;35;55;13000;1;116
92;Olga;20;18;5000;0;117
93;Tatiana;30;42;9500;1;118
94;Alvaro;25;30;7000;0;119
95;Erika;40;60;14000;1;120
96;Dario;30;25;6500;0;121
97;Luciano;20;40;9000;1;122
98;Catalina;45;48;10500;0;123
99;Matias;25;50;12000;1;124
100;Antonia;30;28;7000;0;125
